image,description,category,collection,sugested_price(€)
https://www.tradeinn.com/h/13896/138967233/indio-hardcore-duffy-62-surfboard.jpg,indio hardcore duffy 6´2´´ surfboard,equipment,surfboard,418.49
https://www.tradeinn.com/h/13876/138765360/indio-log-machine-90-surfboard.jpg,indio log machine 9´0´´ surfboard,equipment,surfboard,569.99
https://www.tradeinn.com/h/13876/138765383/indio-plus-70-surfboard.jpg,indio plus 7´0´´ surfboard,equipment,surfboard,424.99
https://www.tradeinn.com/h/13876/138765400/indio-rancho-510-surfboard.jpg,indio rancho 5´10´´ surfboard,equipment,surfboard,365.99
https://www.tradeinn.com/h/13876/138765410/indio-rancho-62-surfboard.jpg,indio rancho 6´2´´ surfboard,equipment,surfboard,383.99
https://www.tradeinn.com/h/13876/138765428/indio-the-egg-76-surfboard.jpg,indio the egg 7´6´´ surfboard,equipment,surfboard,440.99
https://www.tradeinn.com/h/13876/138765318/indio-boom-hp-510-surfboard.jpg,indio boom hp 5´10´´ surfboard,equipment,surfboard,412.99
https://www.tradeinn.com/h/13876/138765320/indio-boom-hp-54-surfboard.jpg,indio boom hp 5´4´´ surfboard,equipment,surfboard,365.99
https://www.tradeinn.com/h/13876/138765372/indio-plus-510-surfboard.jpg,indio plus 5´10´´ surfboard,equipment,surfboard,427.99
https://www.tradeinn.com/h/13876/138765435/indio-trim-machine-91-surfboard.jpg,indio trim machine 9´1´´ surfboard,equipment,surfboard,656.99
https://www.tradeinn.com/h/13896/138967226/indio-easy-80-surfboard.jpg,indio easy 8´0´´ surfboard,equipment,surfboard,547.99
https://www.tradeinn.com/h/13896/138967229/indio-long-90-surfboard.jpg,indio long 9´0´´ surfboard,equipment,surfboard,552.99
https://www.tradeinn.com/h/13896/138967213/indio-fishy-56-surfboard.jpg,indio fishy 5´6´´ surfboard,equipment,surfboard,376.99
https://www.tradeinn.com/h/13896/138967214/indio-fish-60-surfboard.jpg,indio fish 6´0´´ surfboard,equipment,surfboard,385.49
https://www.tradeinn.com/h/13896/138967219/indio-standard-70-surfboard.jpg,indio standard 7´0´´ surfboard,equipment,surfboard,443.99
https://www.tradeinn.com/h/13976/139767051/indio-endurance-combo-surfboard-510.jpg,indio endurance combo surfboard 5´10,equipment,surfboard,479.99
https://www.tradeinn.com/h/13976/139767081/indio-endurance-the-egg-surfboard-710.jpg,indio endurance the egg surfboard 7´10,equipment,surfboard,515.49
https://www.tradeinn.com/h/13976/139767087/indio-endurance-the-egg-surfboard-76.jpg,indio endurance the egg surfboard 7´6,equipment,surfboard,504.49
https://www.tradeinn.com/h/13976/139767075/indio-endurance-rancho-surfboard-60.jpg,indio endurance rancho surfboard 6´0,equipment,surfboard,524.99
https://www.tradeinn.com/h/13976/139767076/indio-endurance-rancho-surfboard-62.jpg,indio endurance rancho surfboard 6´2,equipment,surfboard,524.99
https://www.tradeinn.com/h/13976/139767090/indio-endurance-the-egg-surfboard-82.jpg,indio endurance the egg surfboard 8´2,equipment,surfboard,541.99
https://www.tradeinn.com/h/13876/138765321/indio-boom-hp-57-surfboard.jpg,indio boom hp 5´7´´ surfboard,equipment,surfboard,421.49
https://www.tradeinn.com/h/13876/138765327/indio-combo-54-surfboard.jpg,indio combo 5´4´´ surfboard,equipment,surfboard,478.99
https://www.tradeinn.com/h/13896/138967222/indio-step-up-76-surfboard.jpg,indio step up 7´6´´ surfboard,equipment,surfboard,468.99
